name	value	category
Stenopsyche_tienmushanensis	94.3	dS
Stenopsyche_tienmushanensis	2.4	cD
Stenopsyche_tienmushanensis	1.2	bF
Stenopsyche_tienmushanensis	2.1	aM
Sericostoma_sp._HW-2014	35.6	dS
Sericostoma_sp._HW-2014	0.3	cD
Sericostoma_sp._HW-2014	38.3	bF
Sericostoma_sp._HW-2014	25.8	aM
Plectrocnemia_conspersa	96.6	dS
Plectrocnemia_conspersa	1	cD
Plectrocnemia_conspersa	1	bF
Plectrocnemia_conspersa	1.4	aM
Limnephilus_lunatus	81.2	dS
Limnephilus_lunatus	5.2	cD
Limnephilus_lunatus	7.3	bF
Limnephilus_lunatus	6.3	aM
Hydropsyche_tenuis	96.3	dS
Hydropsyche_tenuis	0.5	cD
Hydropsyche_tenuis	1.4	bF
Hydropsyche_tenuis	1.8	aM
Glossosoma_conforme	83.6	dS
Glossosoma_conforme	0.9	cD
Glossosoma_conforme	10.5	bF
Glossosoma_conforme	5	aM
Thrips_palmi	96.6	dS
Thrips_palmi	0.4	cD
Thrips_palmi	0.2	bF
Thrips_palmi	2.8	aM
Frankliniella_occidentalis	96.6	dS
Frankliniella_occidentalis	1.3	cD
Frankliniella_occidentalis	1	bF
Frankliniella_occidentalis	1.1	aM
Aptinothrips_rufus	94.7	dS
Aptinothrips_rufus	0.4	cD
Aptinothrips_rufus	2.9	bF
Aptinothrips_rufus	2	aM
Mengenilla_moldrzyki	55.4	dS
Mengenilla_moldrzyki	0.2	cD
Mengenilla_moldrzyki	22.5	bF
Mengenilla_moldrzyki	21.9	aM
Ctenocephalides_felis	74.5	dS
Ctenocephalides_felis	20.5	cD
Ctenocephalides_felis	0.9	bF
Ctenocephalides_felis	4.1	aM
Isoperla_grammatica	13.5	dS
Isoperla_grammatica	0.1	cD
Isoperla_grammatica	38.4	bF
Isoperla_grammatica	48	aM
Lednia_tumana	69.1	dS
Lednia_tumana	0.4	cD
Lednia_tumana	20.7	bF
Lednia_tumana	9.8	aM
Amphinemura_sulcicollis	48.1	dS
Amphinemura_sulcicollis	0.7	cD
Amphinemura_sulcicollis	30.2	bF
Amphinemura_sulcicollis	21	aM
Pediculus_humanus_corporis	96.9	dS
Pediculus_humanus_corporis	0.1	cD
Pediculus_humanus_corporis	1	bF
Pediculus_humanus_corporis	2	aM
Timema_genevievae	90.7	dS
Timema_genevievae	0.3	cD
Timema_genevievae	5.3	bF
Timema_genevievae	3.7	aM
Timema_podura	50.5	dS
Timema_podura	0.3	cD
Timema_podura	28.7	bF
Timema_podura	20.5	aM
Timema_tahoe	89.8	dS
Timema_tahoe	0.1	cD
Timema_tahoe	5.8	bF
Timema_tahoe	4.3	aM
Timema_bartmani	87.4	dS
Timema_bartmani	0.2	cD
Timema_bartmani	6.5	bF
Timema_bartmani	5.9	aM
Timema_monikensis	90.9	dS
Timema_monikensis	0.5	cD
Timema_monikensis	4.4	bF
Timema_monikensis	4.2	aM
Timema_cristinae	86.9	dS
Timema_cristinae	0.7	cD
Timema_cristinae	6.6	bF
Timema_cristinae	5.8	aM
Timema_shepardi	87	dS
Timema_shepardi	0.4	cD
Timema_shepardi	8.3	bF
Timema_shepardi	4.3	aM
Timema_californicum	79.9	dS
Timema_californicum	0.5	cD
Timema_californicum	10.8	bF
Timema_californicum	8.8	aM
Timema_poppensis	75	dS
Timema_poppensis	0.5	cD
Timema_poppensis	15	bF
Timema_poppensis	9.5	aM
Timema_douglasi	87.1	dS
Timema_douglasi	0.4	cD
Timema_douglasi	8	bF
Timema_douglasi	4.5	aM
Medauroidea_extradentata	65.5	dS
Medauroidea_extradentata	0.3	cD
Medauroidea_extradentata	22.4	bF
Medauroidea_extradentata	11.8	aM
Dryococelus_australis	45.4	dS
Dryococelus_australis	1	cD
Dryococelus_australis	30	bF
Dryococelus_australis	23.6	aM
Clitarchus_hookeri	89.4	dS
Clitarchus_hookeri	3.2	cD
Clitarchus_hookeri	2.8	bF
Clitarchus_hookeri	4.6	aM
Teleogryllus_occipitalis	93.8	dS
Teleogryllus_occipitalis	1.6	cD
Teleogryllus_occipitalis	2.1	bF
Teleogryllus_occipitalis	2.5	aM
Laupala_kohalensis	96.6	dS
Laupala_kohalensis	1.8	cD
Laupala_kohalensis	0.6	bF
Laupala_kohalensis	1	aM
Acheta_domesticus	45.6	dS
Acheta_domesticus	0.7	cD
Acheta_domesticus	33.6	bF
Acheta_domesticus	20.1	aM
Xenocatantops_brachycerus	74.5	dS
Xenocatantops_brachycerus	11	cD
Xenocatantops_brachycerus	5.9	bF
Xenocatantops_brachycerus	8.6	aM
Locusta_migratoria	32	dS
Locusta_migratoria	1.6	cD
Locusta_migratoria	34.8	bF
Locusta_migratoria	31.6	aM
Ladona_fulva	93.9	dS
Ladona_fulva	1.8	cD
Ladona_fulva	2.3	bF
Ladona_fulva	2	aM
Rhinocypha_anisoptera	77.5	dS
Rhinocypha_anisoptera	7.8	cD
Rhinocypha_anisoptera	6.3	bF
Rhinocypha_anisoptera	8.4	aM
Calopteryx_splendens	94.7	dS
Calopteryx_splendens	0.4	cD
Calopteryx_splendens	3	bF
Calopteryx_splendens	1.9	aM
Neoneuromus_ignobilis	66.9	dS
Neoneuromus_ignobilis	11.9	cD
Neoneuromus_ignobilis	7.3	bF
Neoneuromus_ignobilis	13.9	aM
Cydia_pomonella	90.1	dS
Cydia_pomonella	4.5	cD
Cydia_pomonella	1.2	bF
Cydia_pomonella	4.2	aM
Adoxophyes_honmai	94.2	dS
Adoxophyes_honmai	0.9	cD
Adoxophyes_honmai	2.4	bF
Adoxophyes_honmai	2.5	aM
Manduca_sexta	92.8	dS
Manduca_sexta	5.1	cD
Manduca_sexta	0.7	bF
Manduca_sexta	1.4	aM
Hyles_vespertilio	94.4	dS
Hyles_vespertilio	3.7	cD
Hyles_vespertilio	0.8	bF
Hyles_vespertilio	1.1	aM
Samia_ricini	96.9	dS
Samia_ricini	0.4	cD
Samia_ricini	1.5	bF
Samia_ricini	1.2	aM
Antheraea_mylitta	91.5	dS
Antheraea_mylitta	6	cD
Antheraea_mylitta	0.8	bF
Antheraea_mylitta	1.7	aM
Actias_luna	81.9	dS
Actias_luna	8.2	cD
Actias_luna	2.9	bF
Actias_luna	7	aM
Calephelis_nemesis	94.4	dS
Calephelis_nemesis	0.6	cD
Calephelis_nemesis	2.5	bF
Calephelis_nemesis	2.5	aM
Calephelis_virginiensis	91.8	dS
Calephelis_virginiensis	0.6	cD
Calephelis_virginiensis	4.4	bF
Calephelis_virginiensis	3.2	aM
Plodia_interpunctella	97	dS
Plodia_interpunctella	1.2	cD
Plodia_interpunctella	0.4	bF
Plodia_interpunctella	1.4	aM
Galleria_mellonella	96.7	dS
Galleria_mellonella	1.6	cD
Galleria_mellonella	0.2	bF
Galleria_mellonella	1.5	aM
Amyelois_transitella	96	dS
Amyelois_transitella	1.9	cD
Amyelois_transitella	0.7	bF
Amyelois_transitella	1.4	aM
Eumeta_japonica	91.2	dS
Eumeta_japonica	1.6	cD
Eumeta_japonica	1.8	bF
Eumeta_japonica	5.4	aM
