order	family	genus	id	position	name	accession	tech	length	single	duplicate	fragmented	missing	sum	category
Trichoptera	Stenopsychidae	Stenopsyche	3	602	Stenopsyche_tienmushanensis	GCA_008973525.1	long	451494475	94.3	2.4	1.2	2.1	100	A
Trichoptera	Sericostomatidae	Sericostoma	5	601	Sericostoma_sp._HW-2014	GCA_003003475.1	short	1015727762	35.6	0.3	38.3	25.8	100	A
Trichoptera	Polycentropodidae	Plectrocnemia	2	600	Plectrocnemia_conspersa	GCA_009617715.1	long	396695105	96.6	1	1	1.4	100	A
Trichoptera	Limnephilidae	Limnephilus	6	599	Limnephilus_lunatus	GCA_000648945.2	short	1369180260	81.2	5.2	7.3	6.3	100	A
Trichoptera	Hydropsychidae	Hydropsyche	1	598	Hydropsyche_tenuis	GCA_009617725.1	long	229663394	96.3	0.5	1.4	1.8	100	A
Trichoptera	Glossosomatidae	Glossosoma	4	597	Glossosoma_conforme	GCA_003347265.1	short	604293666	83.6	0.9	10.5	5	100	A
Thysanoptera	Thripidae	Thrips	7	596	Thrips_palmi	GCA_012932325.1	long	237830083	96.6	0.4	0.2	2.8	100	B
Thysanoptera	Thripidae	Frankliniella	9	595	Frankliniella_occidentalis	GCA_000697945.4	short	415771118	96.6	1.3	1	1.1	100	B
Thysanoptera	Thripidae	Aptinothrips	8	594	Aptinothrips_rufus	GCA_902196195.1	none	339926289	94.7	0.4	2.9	2	100	B
Strepsiptera	Mengenillidae	Mengenilla	10	593	Mengenilla_moldrzyki	GCA_000281935.1	short	155727465	55.4	0.2	22.5	21.9	100	A
Siphonaptera	Pulicidae	Ctenocephalides	11	592	Ctenocephalides_felis	GCA_003426905.1	long	775452550	74.5	20.5	0.9	4.1	100	B
Plecoptera	Perlodidae	Isoperla	14	591	Isoperla_grammatica	GCA_001676475.1	short	509522935	13.5	0.1	38.4	48	100	A
Plecoptera	Nemouridae	Lednia	13	590	Lednia_tumana	GCA_003287335.1	short	304502267	69.1	0.4	20.7	9.8	100	A
Plecoptera	Nemouridae	Amphinemura	12	589	Amphinemura_sulcicollis	GCA_001676325.1	short	271924966	48.1	0.7	30.2	21	100	A
Phthiraptera	Pediculidae	Pediculus	15	588	Pediculus_humanus_corporis	GCA_000006295.1	none	110781312	96.9	0.1	1	2	100	B
Phasmatodea	Timematidae	Timema	16	587	Timema_genevievae	GCA_902155825.1	none	1049658498	90.7	0.3	5.3	3.7	100	A
Phasmatodea	Timematidae	Timema	17	586	Timema_podura	GCA_902151475.1	none	1105092765	50.5	0.3	28.7	20.5	100	A
Phasmatodea	Timematidae	Timema	18	585	Timema_tahoe	GCA_902151465.1	none	1093399193	89.8	0.1	5.8	4.3	100	A
Phasmatodea	Timematidae	Timema	19	584	Timema_bartmani	GCA_902151455.1	none	1108645000	87.4	0.2	6.5	5.9	100	A
Phasmatodea	Timematidae	Timema	20	583	Timema_monikensis	GCA_902151445.1	none	1098921974	90.9	0.5	4.4	4.2	100	A
Phasmatodea	Timematidae	Timema	24	582	Timema_cristinae	GCA_902151435.1	none	1177599484	86.9	0.7	6.6	5.8	100	A
Phasmatodea	Timematidae	Timema	22	581	Timema_shepardi	GCA_902151425.1	none	1153163518	87	0.4	8.3	4.3	100	A
Phasmatodea	Timematidae	Timema	25	580	Timema_californicum	GCA_902141385.1	none	1220418541	79.9	0.5	10.8	8.8	100	A
Phasmatodea	Timematidae	Timema	23	579	Timema_poppensis	GCA_902141375.1	none	1137318704	75	0.5	15	9.5	100	A
Phasmatodea	Timematidae	Timema	21	578	Timema_douglasi	GCA_901482245.1	none	1123070144	87.1	0.4	8	4.5	100	A
Phasmatodea	Phasmatidae	Medauroidea	26	577	Medauroidea_extradentata	GCA_003012365.1	short	2593359413	65.5	0.3	22.4	11.8	100	A
Phasmatodea	Phasmatidae	Dryococelus	27	576	Dryococelus_australis	GCA_002236955.1	short	3416447916	45.4	1	30	23.6	100	A
Phasmatodea	Phasmatidae	Clitarchus	28	575	Clitarchus_hookeri	GCA_002778355.1	short	3802613888	89.4	3.2	2.8	4.6	100	A
Orthoptera	Gryllidae	Teleogryllus	32	574	Teleogryllus_occipitalis	GCA_011170035.1	long	1933831998	93.8	1.6	2.1	2.5	100	B
Orthoptera	Gryllidae	Laupala	31	573	Laupala_kohalensis	GCA_002313205.1	short	1595214429	96.6	1.8	0.6	1	100	B
Orthoptera	Gryllidae	Acheta	30	572	Acheta_domesticus	GCA_014858955.1	short	929173017	45.6	0.7	33.6	20.1	100	B
Orthoptera	Acrididae	Xenocatantops	29	571	Xenocatantops_brachycerus	GCA_900249655.1	none	41642132	74.5	11	5.9	8.6	100	B
Orthoptera	Acrididae	Locusta	33	570	Locusta_migratoria	GCA_000516895.1	short	5759798599	32	1.6	34.8	31.6	100	B
Odonata	Libellulidae	Ladona	34	569	Ladona_fulva	GCA_000376725.2	short	1157615891	93.9	1.8	2.3	2	100	A
Odonata	Chlorocyphidae	Rhinocypha	36	568	Rhinocypha_anisoptera	GCA_011762765.1	short	1871797026	77.5	7.8	6.3	8.4	100	A
Odonata	Calopterygidae	Calopteryx	35	567	Calopteryx_splendens	GCA_002093875.1	short	1628352544	94.7	0.4	3	1.9	100	A
Megaloptera	Corydalidae	Neoneuromus	37	566	Neoneuromus_ignobilis	GCA_014529405.1	short	767796098	66.9	11.9	7.3	13.9	100	B
Lepidoptera	Tortricidae	Cydia	148	565	Cydia_pomonella	GCA_003425675.2	long	772891954	90.1	4.5	1.2	4.2	100	A
Lepidoptera	Tortricidae	Adoxophyes	123	564	Adoxophyes_honmai	GCA_005406045.1	short	469620330	94.2	0.9	2.4	2.5	100	A
Lepidoptera	Sphingidae	Manduca	124	563	Manduca_sexta	GCA_014839805.1	long	470021481	92.8	5.1	0.7	1.4	100	A
Lepidoptera	Sphingidae	Hyles	140	562	Hyles_vespertilio	GCA_009982885.1	long	651398004	94.4	3.7	0.8	1.1	100	A
Lepidoptera	Saturniidae	Samia	116	561	Samia_ricini	GCA_014132275.1	long	450479495	96.9	0.4	1.5	1.2	100	A
Lepidoptera	Saturniidae	Antheraea	142	560	Antheraea_mylitta	GCA_014332785.1	long	698407906	91.5	6	0.8	1.7	100	A
Lepidoptera	Saturniidae	Actias	143	559	Actias_luna	GCA_010014465.1	short	684275567	81.9	8.2	2.9	7	100	A
Lepidoptera	Riodinidae	Calephelis	149	558	Calephelis_nemesis	GCA_002245505.1	short	808524533	94.4	0.6	2.5	2.5	100	A
Lepidoptera	Riodinidae	Calephelis	151	557	Calephelis_virginiensis	GCA_002245475.1	short	855081797	91.8	0.6	4.4	3.2	100	A
Lepidoptera	Pyralidae	Plodia	99	556	Plodia_interpunctella	GCA_001368715.1	none	381952380	97	1.2	0.4	1.4	100	A
Lepidoptera	Pyralidae	Galleria	125	555	Galleria_mellonella	GCA_004355975.1	long	483233259	96.7	1.6	0.2	1.5	100	A
Lepidoptera	Pyralidae	Amyelois	108	554	Amyelois_transitella	GCA_001186105.1	short	406468287	96	1.9	0.7	1.4	100	A
Lepidoptera	Psychidae	Eumeta	144	553	Eumeta_japonica	GCA_005406025.1	long	727118372	91.2	1.6	1.8	5.4	100	A
Lepidoptera	Plutellidae	Plutella	88	552	Plutella_xylostella	GCA_902505585.1	none	330364023	97.1	0.7	0.7	1.5	100	A
Lepidoptera	Pieridae	Zerene	66	551	Zerene_cesonia	GCA_012273895.1	short	266421107	93.2	2.1	1.1	3.6	100	A
Lepidoptera	Pieridae	Pieris	59	550	Pieris_rapae	GCA_001856805.1	short	245871251	97.3	0.8	0.3	1.6	100	A
Lepidoptera	Pieridae	Phoebis	77	549	Phoebis_sennae	GCA_001586405.1	short	287490372	90.3	0.8	0.7	8.2	100	A
Lepidoptera	Pieridae	Leptidea	141	548	Leptidea_sinapis	GCA_900199445.1	none	643059204	83.2	0.9	8.6	7.3	100	A
Lepidoptera	Pieridae	Delias	79	547	Delias_pasithoe	GCA_010014985.1	short	297182150	92.2	4.2	1.5	2.1	100	A
Lepidoptera	Pieridae	Colias	84	546	Colias_croceus	GCA_009982905.1	long	318584009	90.3	2.2	3.1	4.4	100	A
Lepidoptera	Papilionidae	Papilio	52	545	Papilio_dardanus_tibullus	GCA_013186455.1	short	231123043	93.6	0.3	3.4	2.7	100	A
Lepidoptera	Papilionidae	Papilio	104	544	Papilio_bianor	GCA_011763625.1	short	402687642	59.8	0.4	24.9	14.9	100	A
Lepidoptera	Papilionidae	Papilio	55	543	Papilio_memnon	GCA_003118335.3	short	232528895	95.8	1.1	1.9	1.2	100	A
Lepidoptera	Papilionidae	Papilio	69	542	Papilio_machaon	GCA_001298355.1	short	278421261	95.2	0.7	2	2.1	100	A
Lepidoptera	Papilionidae	Papilio	60	541	Papilio_xuthus	GCA_001298345.1	short	243231804	97.1	1.1	0.7	1.1	100	A
Lepidoptera	Papilionidae	Papilio	97	540	Papilio_glaucus	GCA_000931545.1	short	374815656	93.5	0.9	2.3	3.3	100	A
Lepidoptera	Papilionidae	Papilio	53	539	Papilio_polytes	GCA_000836215.1	short	227005758	92.8	0.4	3	3.8	100	A
Lepidoptera	Papilionidae	Ornithoptera	155	538	Ornithoptera_priamus	GCA_011317755.1	short	1287883780	16.7	2.6	8.4	72.3	100	A
Lepidoptera	Papilionidae	Graphium	145	537	Graphium_doson	GCA_014048405.1	short	730516760	27.1	0.5	32	40.4	100	A
Lepidoptera	Nymphalidae	Vanessa	93	536	Vanessa_tameamea	GCA_002938995.1	short	357124929	98	0.4	0.7	0.9	100	A
Lepidoptera	Nymphalidae	Taenaris	119	535	Taenaris_catops	GCA_009936525.1	short	456368171	31	0.8	26.3	41.9	100	A
Lepidoptera	Nymphalidae	Pararge	130	534	Pararge_aegeria	GCA_900499025.1	none	501694711	86.5	1.5	7.8	4.2	100	A
Lepidoptera	Nymphalidae	Neruda	89	533	Neruda_aoede	GCA_900068225.1	none	337370441	51.6	0.4	27.8	20.2	100	A
Lepidoptera	Nymphalidae	Melitaea	103	532	Melitaea_cinxia	GCA_000716385.1	short	389892349	82.3	0.1	9.7	7.9	100	A
Lepidoptera	Nymphalidae	Maniola	137	531	Maniola_jurtina	GCA_009667785.1	long	614735551	69.6	17.1	3.8	9.5	100	A
Lepidoptera	Nymphalidae	Laparus	46	530	Laparus_doris_delila	GCA_900068345.1	none	208688959	24.7	0.2	29.9	45.2	100	A
Lepidoptera	Nymphalidae	Laparus	58	529	Laparus_doris_doris	GCA_900068335.1	none	241555716	32.3	0.2	31.5	36	100	A
Lepidoptera	Nymphalidae	Laparus	64	528	Laparus_doris	GCA_900068325.1	none	261728519	39.7	0.3	34.5	25.5	100	A
Lepidoptera	Nymphalidae	Hypolimnas	110	527	Hypolimnas_misippus	GCA_008963455.1	short	408793762	97.8	0.1	0.8	1.3	100	A
Lepidoptera	Nymphalidae	Heliconius	45	526	Heliconius_xanthocles	GCA_900068825.1	none	198611823	29.6	0.2	28.1	42.1	100	A
Lepidoptera	Nymphalidae	Heliconius	94	525	Heliconius_wallacei	GCA_900068815.1	none	365010054	41.5	0.3	32.5	25.7	100	A
Lepidoptera	Nymphalidae	Heliconius	74	524	Heliconius_pachinus	GCA_900068735.1	none	279264790	62.3	0.4	20.2	17.1	100	A
Lepidoptera	Nymphalidae	Heliconius	50	523	Heliconius_melpomene_vulcanus	GCA_900068695.1	none	225751348	40.2	0.4	30.5	28.9	100	A
Lepidoptera	Nymphalidae	Heliconius	67	522	Heliconius_melpomene_thelxiopeia	GCA_900068675.1	none	267031756	51.1	1	27.5	20.4	100	A
Lepidoptera	Nymphalidae	Heliconius	87	521	Heliconius_melpomene_rosina	GCA_900068665.1	none	322345282	68.8	1.2	19.3	10.7	100	A
Lepidoptera	Nymphalidae	Heliconius	57	520	Heliconius_melpomene_plesseni	GCA_900068645.1	none	240751188	45.1	0.2	28.9	25.8	100	A
Lepidoptera	Nymphalidae	Heliconius	56	519	Heliconius_melpomene_meriana	GCA_900068635.1	none	233711095	37.2	1.2	26.5	35.1	100	A
Lepidoptera	Nymphalidae	Heliconius	49	518	Heliconius_melpomene_ecuadorensis	GCA_900068555.1	none	218066150	38	0.2	30.9	30.9	100	A
Lepidoptera	Nymphalidae	Heliconius	54	517	Heliconius_melpomene_bellula	GCA_900068535.1	none	228013940	42.1	0.2	28.4	29.3	100	A
Lepidoptera	Nymphalidae	Heliconius	51	516	Heliconius_melpomene_cythera	GCA_900068515.1	none	221669006	37	0.2	29.9	32.9	100	A
Lepidoptera	Nymphalidae	Heliconius	85	515	Heliconius_melpomene_amaryllis	GCA_900068505.1	none	318072104	69.1	0.7	19.7	10.5	100	A
